2025-06-21 07:09:08 |    DEBUG | enrichment | [CACHE_MISS] discogs: Cache miss for Everything But The Girl - Missing (Clean) (Extended) | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:08 |    DEBUG | enrichment | [API_REQUEST] discogs: Requesting Everything But The Girl - Missing (Clean) (Extended) | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:08 |     INFO | enrichment | [API_RESPONSE] discogs: Response from discogs: SUCCESS | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:08 |  WARNING | enrichment | [ERROR] aggregator: Pocos datos obtenidos, activando fallback | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:08 |    DEBUG | enrichment | [CACHE_MISS] lastfm: Cache miss for Everything But The Girl - Missing (Clean) (Extended) | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:08 |    DEBUG | enrichment | [API_REQUEST] lastfm: Requesting Everything But The Girl - Missing (Clean) (Extended) | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:08 |     INFO | enrichment | [API_RESPONSE] lastfm: Response from lastfm: SUCCESS | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:08 |     INFO | enrichment | [API_REQUEST] curator: Curación completada: 4 -> 4 géneros | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:08 |     INFO | enrichment | [AGGREGATION] aggregator: Aggregation completed: 4 genres found | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-22 08:19:08 |     INFO | enrichment | [AGGREGATION] aggregator: Starting aggregation for Alice Cooper - School's Out_PN | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-22 08:19:08 |    DEBUG | enrichment | [CACHE_HIT] musicbrainz: Cache hit for Alice Cooper - School's Out_PN | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-22 08:19:08 |    DEBUG | enrichment | [CACHE_HIT] spotify: Cache hit for Alice Cooper - School's Out_PN | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-22 08:19:08 |    DEBUG | enrichment | [CACHE_MISS] discogs: Cache miss for Alice Cooper - School's Out_PN | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-22 08:19:08 |    DEBUG | enrichment | [API_REQUEST] discogs: Requesting Alice Cooper - School's Out_PN | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-22 08:19:08 |     INFO | enrichment | [API_RESPONSE] discogs: Response from discogs: SUCCESS | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-22 08:19:08 |     INFO | enrichment | [API_REQUEST] curator: Curación completada: 4 -> 4 géneros | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-22 08:19:08 |     INFO | enrichment | [AGGREGATION] aggregator: Aggregation completed: 4 genres found | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-22 08:19:08 |     INFO | enrichment | [API_REQUEST] audio_enricher: Starting audio analysis for Alice Cooper - School's Out_PN.flac | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-22 08:19:32 |    DEBUG | enrichment | [API_REQUEST] audio_enricher: Audio features saved to DB for Alice Cooper - School's Out_PN.flac | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-22 08:19:32 |     INFO | enrichment | [API_RESPONSE] audio_enricher: Audio analysis completed for Alice Cooper - School's Out_PN.flac | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
